DR Number,Date Occurred,Time Occurred,latitude,longitude
120111579,2012-05-08,2115,34.0329,-118.2632
120113093,2012-06-01,1655,34.0371,-118.2612
120108905,2012-03-28,1210,34.0688,-118.2291
120108129,2012-03-15,940,34.0468,-118.2622
120109583,2012-04-07,2335,34.0435,-118.2471
120111131,2012-05-02,815,34.0511,-118.2381
120111468,2012-05-04,1050,34.0479,-118.2612
120111775,2012-05-11,2045,34.0455,-118.2379
120110154,2012-04-17,1130,34.0472,-118.2326
120114700,2012-06-26,1000,34.0449,-118.2458
120107426,2012-03-03,1220,34.0549,-118.2426
120109893,2012-04-13,120,34.065,-118.2418
120111923,2012-05-15,2359,34.0449,-118.2458
120109622,2012-04-08,1925,34.0345,-118.266
120108621,2012-03-23,925,34.0595,-118.2368
120110896,2012-04-28,1105,34.0565,-118.2445
120110693,2012-04-25,1450,34.0458,-118.243
120123053,2012-03-18,220,34.0416,-118.2584
120109991,2012-04-14,1955,34.0423,-118.2452
120112466,2012-05-22,1800,34.0437,-118.2617
120112710,2012-05-26,1230,34.0352,-118.2583
120110587,2012-04-16,1020,34.032,-118.2657
120111309,2012-05-03,2300,34.0423,-118.2666
120110134,2012-04-17,930,34.0375,-118.2556
120113565,2012-06-08,1253,34.0371,-118.2551
120108691,2012-03-24,1920,34.0466,-118.259
120114694,2012-06-26,1100,34.0348,-118.235
120113823,2012-06-12,1725,34.0561,-118.2415
120111394,2012-05-05,355,34.0552,-118.2322
120112824,2012-05-28,1000,34.0456,-118.254
120114377,2012-06-21,1120,34.0463,-118.2678
120110448,2012-04-22,240,34.0437,-118.2582
120108195,2012-03-15,2359,34.0491,-118.2414
120113403,2012-06-06,2250,34.0582,-118.2465
120108043,2012-03-13,1700,34.0641,-118.2455
120107493,2012-03-03,2200,34.0349,-118.2669
120112241,2012-05-01,1035,34.0423,-118.2452
120108406,2012-03-15,700,34.0534,-118.2409
120108987,2012-03-29,850,34.0433,-118.2381
120112025,2012-05-16,1305,34.0566,-118.2319
120109085,2012-03-31,300,34.0565,-118.2445
120113168,2012-06-01,2320,34.0445,-118.2523
120109238,2012-04-01,1500,34.0414,-118.2382
120114056,2012-06-15,2120,34.0501,-118.2592
120113993,2012-06-14,2345,34.0635,-118.2458
120111098,2012-05-01,1715,34.0467,-118.2556
120107881,2012-03-10,1715,34.0312,-118.2615
120108835,2012-03-27,1605,34.0338,-118.2665
120107362,2012-03-02,200,34.0423,-118.2595
120109424,2012-04-05,1345,34.0395,-118.2527
120110401,2012-04-21,415,34.0462,-118.2628
120112422,2012-05-21,2000,34.0414,-118.2382
120109969,2012-04-14,1130,34.0435,-118.2471
120113641,2012-06-10,210,34.0444,-118.2628
120107699,2012-03-07,1425,34.0444,-118.2593
120108868,2012-03-27,1550,34.0458,-118.243
120114587,2012-06-24,1645,34.0401,-118.2504
